"","predicate","valence","negated","N","response","bootsci_high","bootsci_low"
"1","accurate","positive","false",19,0.333157894736842,0.468434210526316,0.214736842105263
"2","bad","negative","false",17,0.554705882352941,0.725294117647059,0.378220588235294
"3","certain","positive","false",10,0.512,0.7,0.319
"4","fair","positive","false",9,0.415555555555556,0.556666666666667,0.267777777777778
"5","friendly","positive","false",19,0.604210526315789,0.734736842105263,0.456842105263158
"6","frustrating","negative","false",13,0.585384615384615,0.749230769230769,0.416923076923077
"7","good","positive","false",18,0.678333333333333,0.787777777777778,0.566111111111111
"8","happy","positive","false",25,0.6996,0.8124,0.57319
"9","impolite","negative","false",12,0.535,0.6716875,0.39
"10","impossible","negative","false",10,0.514,0.728,0.305
"11","inaccurate","negative","false",14,0.286428571428571,0.417142857142857,0.163571428571429
"12","interesting","positive","false",12,0.605833333333333,0.741666666666667,0.45
"13","kind","positive","false",22,0.510909090909091,0.657272727272727,0.363181818181818
"14","long","positive","false",14,0.320714285714286,0.498589285714285,0.159982142857143
"15","lucky","positive","false",12,0.68,0.833333333333333,0.511645833333333
"16","mean","negative","false",14,0.640714285714286,0.781428571428571,0.482142857142857
"17","not accurate","positive","true",12,0.395,0.6,0.203333333333333
"18","not bad","negative","true",14,0.655,0.806428571428571,0.489285714285714
"19","not certain","positive","true",11,0.528181818181818,0.696363636363636,0.362704545454545
"20","not fair","positive","true",22,0.563636363636364,0.680909090909091,0.449545454545455
"21","not friendly","positive","true",14,0.623571428571429,0.767142857142857,0.464285714285714
"22","not frustrating","negative","true",13,0.595384615384615,0.761538461538461,0.421538461538462
"23","not good","positive","true",11,0.776363636363636,0.894545454545455,0.626363636363636
"24","not happy","positive","true",32,0.6121875,0.7271953125,0.4928125
"25","not impolite","negative","true",17,0.594705882352941,0.719411764705882,0.464705882352941
"26","not impossible","negative","true",14,0.456428571428571,0.577142857142857,0.345
"27","not inaccurate","negative","true",15,0.387333333333333,0.542,0.240666666666667
"28","not interesting","positive","true",19,0.612105263157895,0.764210526315789,0.442631578947368
"29","not kind","positive","true",9,0.788888888888889,0.885555555555556,0.69
"30","not long","positive","true",19,0.453684210526316,0.602105263157895,0.307894736842105
"31","not lucky","positive","true",12,0.508333333333333,0.6741875,0.335833333333333
"32","not mean","negative","true",15,0.458,0.600666666666667,0.31465
"33","not polite","positive","true",39,0.554102564102564,0.65000641025641,0.459224358974359
"34","not poor","negative","true",17,0.376470588235294,0.541191176470588,0.225882352941176
"35","not possible","positive","true",26,0.498461538461538,0.623471153846154,0.371538461538462
"36","not rich","positive","true",12,0.610833333333333,0.740833333333333,0.474979166666667
"37","not rude","negative","true",18,0.599444444444444,0.722777777777778,0.463888888888889
"38","not sad","negative","true",8,0.49875,0.6725,0.3375
"39","not satisfactory","positive","true",33,0.595151515151515,0.683030303030303,0.504242424242424
"40","not short","negative","true",28,0.474642857142857,0.585,0.365
"41","not strong","positive","true",13,0.483846153846154,0.690788461538461,0.286134615384615
"42","not tall","positive","true",19,0.485789473684211,0.632631578947368,0.338421052631579
"43","not uncertain","negative","true",19,0.501578947368421,0.659473684210526,0.342631578947368
"44","not unfair","negative","true",12,0.605,0.7875,0.410833333333333
"45","not unfriendly","negative","true",13,0.65,0.766923076923077,0.519230769230769
"46","not unhappy","negative","true",13,0.680769230769231,0.820769230769231,0.525365384615385
"47","not uninteresting","negative","true",15,0.620666666666667,0.764,0.463316666666667
"48","not unlucky","negative","true",16,0.62125,0.74625,0.486875
"49","not unsatisfactory","negative","true",14,0.475714285714286,0.575,0.377142857142857
"50","not useful","positive","true",14,0.446428571428571,0.587142857142857,0.3
"51","not useless","negative","true",12,0.523333333333333,0.689166666666667,0.358333333333333
"52","not weak","negative","true",7,0.534285714285714,0.715714285714286,0.375714285714286
"53","polite","positive","false",22,0.644545454545455,0.785011363636363,0.494534090909091
"54","poor","negative","false",13,0.651538461538462,0.827692307692308,0.460769230769231
"55","possible","positive","false",10,0.395,0.596,0.214975
"56","rich","positive","false",18,0.435,0.571680555555555,0.303888888888889
"57","rude","negative","false",12,0.595,0.7325,0.455
"58","sad","negative","false",25,0.6292,0.7628,0.4852
"59","satisfactory","positive","false",30,0.533333333333333,0.663675,0.399325
"60","short","negative","false",29,0.46551724137931,0.578275862068966,0.35448275862069
"61","strong","positive","false",24,0.534583333333333,0.65,0.414583333333333
"62","tall","positive","false",11,0.480909090909091,0.702727272727273,0.26
"63","uncertain","negative","false",20,0.4645,0.5815,0.3535
"64","unfair","negative","false",17,0.614705882352941,0.74,0.481161764705882
"65","unfriendly","negative","false",14,0.823571428571429,0.9,0.742142857142857
"66","unhappy","negative","false",17,0.544117647058823,0.681176470588235,0.397647058823529
"67","uninteresting","negative","false",14,0.648571428571429,0.802857142857143,0.470714285714286
"68","unlucky","negative","false",20,0.567,0.7125125,0.4135
"69","unsatisfactory","negative","false",17,0.617058823529412,0.760029411764706,0.466470588235294
"70","useful","positive","false",18,0.531666666666667,0.673347222222222,0.391097222222222
"71","useless","negative","false",16,0.525,0.673125,0.370609375
"72","weak","negative","false",16,0.53125,0.705625,0.354375
