"","adjective","polarity","N","response","bootsci_high","bootsci_low"
"1","accurate","positive",21,0.343809523809524,0.486190476190476,0.215714285714286
"2","bad","negative",16,0.86,0.959390625,0.723125
"3","certain","positive",19,0.737368421052632,0.878947368421053,0.582105263157895
"4","fair","positive",16,0.795,0.908125,0.658734375
"5","friendly","positive",21,0.851904761904762,0.935714285714286,0.742857142857143
"6","frustrating","negative",17,0.784705882352941,0.914705882352941,0.628235294117647
"7","good","positive",22,0.821818181818182,0.915909090909091,0.710454545454545
"8","happy","positive",42,0.718571428571429,0.826910714285714,0.602136904761905
"9","impolite","negative",16,0.915,0.97125,0.838125
"10","impossible","negative",16,0.685625,0.870640625,0.476859375
"11","inaccurate","negative",17,0.594117647058824,0.775897058823529,0.401176470588235
"12","interesting","positive",19,0.938421052631579,0.980526315789474,0.866842105263158
"13","kind","positive",20,0.8185,0.9405,0.673
"14","long","positive",17,0.48,0.687058823529412,0.278808823529412
"15","lucky","positive",20,0.8035,0.92,0.6659875
"16","mean","negative",18,0.677777777777778,0.837777777777778,0.501652777777778
"17","polite","positive",37,0.72,0.819459459459459,0.615675675675676
"18","poor","negative",23,0.598695652173913,0.75304347826087,0.439130434782609
"19","possible","positive",22,0.524545454545455,0.688181818181818,0.361818181818182
"20","rich","positive",15,0.506,0.705333333333333,0.303333333333333
"21","rude","negative",23,0.777826086956522,0.90695652173913,0.626521739130435
"22","sad","negative",15,0.679333333333333,0.856666666666667,0.482666666666667
"23","satisfactory","positive",41,0.799024390243902,0.885853658536585,0.700969512195122
"24","short","negative",34,0.456764705882353,0.588242647058823,0.327058823529412
"25","strong","positive",20,0.786,0.8885,0.6615
"26","tall","positive",25,0.362,0.51761,0.2156
"27","uncertain","negative",19,0.533684210526316,0.688421052631579,0.378934210526316
"28","unfair","negative",22,0.707272727272727,0.835454545454545,0.560443181818182
"29","unfriendly","negative",17,0.804705882352941,0.927647058823529,0.64939705882353
"30","unhappy","negative",19,0.493157894736842,0.668421052631579,0.321039473684211
"31","uninteresting","negative",19,0.903157894736842,0.968421052631579,0.797368421052632
"32","unlucky","negative",18,0.646666666666667,0.811666666666667,0.470555555555556
"33","unsatisfactory","negative",18,0.800555555555556,0.921111111111111,0.658333333333333
"34","useful","positive",27,0.757777777777778,0.880740740740741,0.615555555555556
"35","useless","negative",11,0.757272727272727,0.903636363636364,0.590909090909091
"36","weak","negative",18,0.77,0.874444444444444,0.657777777777778
